"plate_x","plate_z","pitch_name","description","stand","release_speed","release_spin_rate"
0.51,3.46,"Cutter","hit_into_play","R",90.6,2497
1.36,0.32,"Slider","ball","R",86.6,2447
-0.31,3.51,"4-Seam Fastball","foul","R",93.4,2234
0.1,2.18,"Slider","hit_into_play","R",87.8,2672
0.53,0.52,"Cutter","ball","R",92.9,2439
0.52,2.47,"4-Seam Fastball","foul","R",96.1,2166
-0.05,3.15,"4-Seam Fastball","foul","R",96.3,2287
-0.97,4.4,"Knuckle Curve","ball","R",81,2865
-0.82,3.6,"4-Seam Fastball","hit_into_play","R",97.2,2313
2.95,-1.22,"Slider","ball","R",89.5,2533
1.9,1.05,"Slider","ball","R",89,2598
0.47,1.69,"4-Seam Fastball","called_strike","R",96.7,2421
1.1,2.43,"Cutter","swinging_strike","R",92.8,2544
-0.92,2.84,"4-Seam Fastball","hit_into_play","L",96.6,2284
-0.18,3.24,"4-Seam Fastball","foul","L",96.1,2259
-0.58,2.16,"4-Seam Fastball","hit_into_play","R",95.1,2342
1.26,1.8,"Slider","ball","R",86.5,2482
0.14,4.41,"4-Seam Fastball","ball","R",95.1,2379
0.33,3.14,"4-Seam Fastball","swinging_strike","R",94.8,2301
1.84,1.02,"Slider","ball","R",86.5,2611
-0.83,2.88,"4-Seam Fastball","foul","R",93.7,2227
0.14,2.45,"Cutter","swinging_strike","R",91.5,2584
1.11,2.43,"4-Seam Fastball","ball","R",95.3,2428
1.16,2.13,"Slider","ball","R",88.4,2532
1.04,2.23,"Slider","called_strike","R",86.7,2535
0.45,2.77,"Knuckle Curve","called_strike","R",81.5,2731
-0.49,2.74,"Slider","hit_into_play","L",88.4,2378
1.64,1.91,"Slider","swinging_strike","R",87.4,2470
1.15,1.16,"Slider","swinging_strike","R",87,2592
1.61,0.82,"Knuckle Curve","ball","R",80.2,2850
0.11,1.56,"4-Seam Fastball","called_strike","R",95.7,2338
0.65,2.01,"Slider","hit_into_play","R",89.2,2524
0.69,2.93,"4-Seam Fastball","foul","R",96.2,2396
0.49,3.13,"Knuckle Curve","foul","R",83.7,2659
0.32,0.94,"Changeup","ball","R",88.6,1480
-0.15,3.65,"4-Seam Fastball","ball","R",96.7,2335
0.48,1.42,"Slider","swinging_strike","R",89.7,2435
-0.3,2.91,"Cutter","swinging_strike","L",91.2,2518
-1.37,3.73,"4-Seam Fastball","ball","L",96.4,2312
0.37,1.81,"Changeup","called_strike","L",88.7,1288
0.56,2.17,"Knuckle Curve","foul","L",82,2761
0.52,2.78,"Cutter","hit_into_play","R",89.9,2533
0.39,1.34,"Knuckle Curve","ball","R",79.6,2738
0.25,3.1,"Knuckle Curve","foul_tip","R",80,2675
0.56,3.71,"4-Seam Fastball","foul","R",96.3,2385
0.59,1.04,"Slider","swinging_strike","R",86.8,2445
0.05,2.57,"4-Seam Fastball","called_strike","R",95.2,2336
0.08,2.5,"Slider","hit_into_play","L",87.5,2460
0.6,2.99,"4-Seam Fastball","foul","L",95.9,2355
-1.4,2.39,"Changeup","ball","L",87.6,1541
-0.11,2.57,"Knuckle Curve","called_strike","L",81.1,2541
-0.09,2.45,"Cutter","hit_into_play","R",91.7,2508
1.15,0.93,"4-Seam Fastball","ball","R",95.1,2305
0.46,2.76,"4-Seam Fastball","swinging_strike","R",95.9,2338
0.54,2.91,"4-Seam Fastball","called_strike","R",95.2,2358
-0.34,3.27,"Knuckle Curve","ball","R",79.7,2658
0.67,3.54,"4-Seam Fastball","ball","R",96.1,2386
0.39,2.78,"Cutter","foul","R",91.6,2382
-0.41,2.62,"Knuckle Curve","hit_into_play","L",82.9,2713
-0.75,3.03,"4-Seam Fastball","foul","L",95.9,2454
0.58,2.57,"4-Seam Fastball","called_strike","L",97,2321
-0.94,1.12,"Changeup","ball","L",87.2,1590
0.32,1.57,"Knuckle Curve","called_strike","L",82,2628
1.34,1.38,"Slider","swinging_strike","R",88,2559
0.37,1.51,"Knuckle Curve","swinging_strike","R",82,2713
-1.84,4.57,"4-Seam Fastball","foul","R",94.6,2316
0.99,3.87,"Cutter","ball","R",90.6,2438
0.61,1.4,"Cutter","swinging_strike","R",91.4,2483
1.11,1.92,"Cutter","foul","R",91.4,2442
1.18,1.01,"Slider","ball","R",89.2,2490
1.35,1.77,"Slider","ball","R",87.7,2526
2.54,2.26,"Cutter","ball","R",90,2460
0.75,3,"4-Seam Fastball","called_strike","R",94.8,2343
0.03,2.82,"4-Seam Fastball","foul","R",95.9,2359
-0.62,2.9,"4-Seam Fastball","hit_into_play","L",95.4,2231
0.22,1.98,"Knuckle Curve","foul","L",82,2727
1.2,2.18,"Slider","ball","L",87.8,2635
0.85,1.4,"Knuckle Curve","ball","L",82.2,2849
0.09,3.13,"4-Seam Fastball","foul","L",95,2285
0.02,2.7,"4-Seam Fastball","foul","L",95.7,2340
-0.32,3.55,"Slider","swinging_strike","L",86.4,2596
-0.57,2.6,"4-Seam Fastball","hit_into_play","R",94.5,2337
0.85,2.86,"4-Seam Fastball","called_strike","R",94.2,2352
-0.92,2.47,"4-Seam Fastball","hit_into_play","R",94.4,2318
-0.22,3.97,"Knuckle Curve","ball","R",79.6,2755
0.89,2.46,"Cutter","called_strike","R",90.2,2423
-0.01,2.54,"4-Seam Fastball","hit_into_play","L",94.6,2328
0.26,1.21,"Slider","ball","L",87,2467
-1.34,3.42,"4-Seam Fastball","ball","L",94.3,2275
0.07,2.31,"Slider","hit_into_play","R",86.3,2504
0.62,3.23,"4-Seam Fastball","foul","R",94.4,2259
-0.03,3.28,"4-Seam Fastball","swinging_strike","R",95.6,2306
0.41,0.91,"Knuckle Curve","ball","R",80.5,2732
0.88,1.5,"Slider","swinging_strike","R",86.2,2564
0.31,2.54,"4-Seam Fastball","called_strike","R",94.3,2296
1.34,1.81,"Cutter","ball","R",89.8,2550
1.04,2.17,"Cutter","swinging_strike","R",89.3,2536
1.18,2.81,"4-Seam Fastball","ball","R",93.3,2331
-0.43,2.9,"Slider","swinging_strike","L",88.8,2494
-0.96,4.95,"4-Seam Fastball","ball","L",95.8,2377
-0.6,2.9,"4-Seam Fastball","foul","L",95.8,2252
0.07,3.15,"Slider","called_strike","L",88.3,2416
-1.07,2.87,"4-Seam Fastball","ball","L",95.8,2395
-0.6,2.69,"4-Seam Fastball","hit_into_play","R",96.1,2237
0.48,3.69,"4-Seam Fastball","foul","R",96.6,2461
0.55,1.83,"Knuckle Curve","hit_into_play","R",81.7,2686
0.31,2.75,"Knuckle Curve","foul","R",79.8,2811
1.38,1.85,"Slider","ball","R",87,2487
1,1.01,"Slider","swinging_strike","R",88.2,2529
0.93,2.45,"Cutter","called_strike","R",91,2450
0.22,2.24,"Slider","hit_into_play","R",91.1,2389
0.71,2.93,"4-Seam Fastball","called_strike","R",94.5,2304
-0.28,2.48,"Knuckle Curve","hit_into_play","L",83.2,2813
0.67,2.92,"Cutter","foul","L",92.3,2513
-0.45,2.06,"4-Seam Fastball","hit_into_play","R",94.1,2373
-0.08,3.08,"Slider","called_strike","R",91.2,2480
-1.02,2.7,"4-Seam Fastball","ball","R",95.6,2431
-0.04,1.62,"Slider","swinging_strike","L",89.2,2427
