release_spin_rate,release_speed,balls,strikes,result_derived,stand,in_or_off_plate,num_on_base,outs_when_up
2129.0,94.8,2,2,foul,R,outside,0,1
1661.0,88.7,2,1,strike,R,outside,0,1
1574.0,89.5,2,0,foul,R,inside,0,1
1797.0,90.2,1,0,ball,R,outside,0,1
2059.0,76.9,0,0,ball,R,outside,0,1
1786.0,88.0,2,2,out,L,inside,0,0
1926.0,77.3,1,2,ball,L,outside,0,0
2242.0,91.9,1,1,foul,L,outside,0,0
1730.0,87.6,1,0,strike,L,inside,0,0
1730.0,87.0,0,0,ball,L,outside,0,0
1661.0,89.6,3,2,out,R,outside,1,2
2049.0,78.8,2,2,ball,R,outside,1,2
2196.0,94.6,2,2,foul,R,inside,1,2
1641.0,88.6,2,2,foul,R,inside,1,2
2013.0,78.1,1,2,ball,R,outside,1,2
2108.0,77.8,1,1,strike,R,inside,1,2
2191.0,94.2,1,0,strike,R,inside,1,2
2391.0,91.6,0,0,ball,R,outside,1,2
2178.0,94.5,2,2,out,L,outside,1,1
1562.0,87.7,2,1,foul,L,outside,1,1
1889.0,75.6,2,0,strike,L,inside,1,1
2294.0,91.0,1,0,ball,L,outside,1,1
1779.0,89.1,0,0,ball,L,outside,1,1
2204.0,95.5,3,1,walk,R,outside,0,1
2227.0,94.7,2,1,ball,R,outside,0,1
1663.0,88.5,1,1,ball,R,outside,0,1
2269.0,92.3,1,0,foul,R,inside,0,1
1998.0,76.3,0,0,ball,R,outside,0,1
1667.0,90.0,2,2,out,L,inside,0,0
1811.0,88.5,1,2,ball,L,outside,0,0
2283.0,95.3,1,2,foul,L,inside,0,0
2241.0,95.3,1,1,strike,L,inside,0,0
1739.0,88.4,0,1,ball,L,outside,0,0
2382.0,92.4,0,0,strike,L,inside,0,0
2261.0,96.2,1,2,out,R,inside,0,2
1972.0,78.5,1,1,strike,R,inside,0,2
2297.0,95.6,1,0,strike,R,inside,0,2
2030.0,87.4,0,0,ball,R,outside,0,2
1597.0,88.9,0,1,hit,R,inside,0,2
1896.0,78.1,0,0,foul,R,inside,0,2
2300.0,91.3,0,1,out,L,outside,0,1
1617.0,87.6,0,0,strike,L,inside,0,1
2275.0,96.3,2,2,out,R,outside,0,0
1847.0,89.8,1,2,ball,R,outside,0,0
2296.0,94.9,0,2,ball,R,outside,0,0
1972.0,77.9,0,1,strike,R,inside,0,0
2319.0,94.4,0,0,strike,R,inside,0,0
2031.0,78.9,2,2,out,L,outside,0,2
1706.0,88.9,1,2,ball,L,outside,0,2
1868.0,89.1,1,1,strike,L,inside,0,2
2291.0,96.4,0,1,ball,L,outside,0,2
2049.0,77.4,0,0,strike,L,inside,0,2
1774.0,88.5,0,2,out,R,inside,0,1
2043.0,78.7,0,1,strike,R,outside,0,1
2322.0,96.3,0,0,strike,R,outside,0,1
2265.0,95.8,0,0,out,L,inside,0,0
1641.0,90.1,2,2,out,R,outside,0,2
2270.0,97.3,1,2,ball,R,outside,0,2
2022.0,77.9,0,2,ball,R,outside,0,2
2209.0,96.7,0,2,foul,R,inside,0,2
1724.0,88.2,0,1,foul,R,outside,0,2
1627.0,89.8,0,0,foul,R,inside,0,2
1942.0,77.6,2,2,out,L,outside,0,1
1752.0,90.2,2,2,foul,L,inside,0,1
2333.0,96.4,1,2,ball,L,outside,0,1
2333.0,97.2,1,2,foul,L,inside,0,1
1814.0,89.3,1,1,strike,L,inside,0,1
2326.0,96.8,0,1,ball,L,outside,0,1
2346.0,90.9,0,0,strike,L,inside,0,1
1747.0,89.4,2,2,out,R,outside,0,0
1858.0,78.2,2,2,foul,R,inside,0,0
1774.0,90.0,1,2,ball,R,outside,0,0
1667.0,89.9,1,1,strike,R,inside,0,0
2302.0,95.7,0,1,ball,R,outside,0,0
1783.0,88.2,0,0,foul,R,outside,0,0
1597.0,90.6,1,2,out,R,inside,0,2
2053.0,77.2,1,1,strike,R,inside,0,2
1579.0,89.3,1,0,strike,R,inside,0,2
2297.0,93.2,0,0,ball,R,outside,0,2
2220.0,92.2,1,0,out,R,inside,0,1
2066.0,77.4,0,0,ball,R,outside,0,1
2354.0,91.7,0,0,out,R,inside,0,0
2250.0,96.8,0,2,out,R,inside,1,2
2160.0,95.5,0,1,strike,R,outside,1,2
2047.0,78.8,0,0,strike,R,outside,1,2
2302.0,93.0,1,1,hit,L,outside,0,2
1731.0,88.9,1,0,strike,L,inside,0,2
1987.0,76.2,0,0,ball,L,inside,0,2
1673.0,89.4,0,1,out,R,inside,0,1
2245.0,92.7,0,0,foul,R,inside,0,1
1734.0,88.2,1,1,out,R,inside,0,0
1740.0,88.8,0,1,ball,R,outside,0,0
2262.0,91.5,0,0,strike,R,inside,0,0
1520.0,87.7,0,2,out,L,outside,1,1
2199.0,91.5,0,1,foul,L,inside,1,1
1552.0,89.6,0,0,strike,L,outside,1,1
2172.0,95.0,2,2,hit,R,inside,0,1
2201.0,88.7,1,2,ball,R,outside,0,1
1645.0,88.6,1,1,foul,R,inside,0,1
1813.0,89.2,1,0,foul,R,outside,0,1
2143.0,77.2,0,0,ball,R,outside,0,1
1637.0,88.5,0,1,out,R,inside,0,0
2188.0,87.4,0,0,strike,R,inside,0,0
2116.0,78.0,1,2,out,L,outside,2,2
2231.0,95.4,1,2,foul,L,inside,2,2
1758.0,90.1,1,2,foul,L,inside,2,2
2269.0,96.0,0,2,ball,L,outside,2,2
2307.0,91.5,0,1,strike,L,inside,2,2
1723.0,88.7,0,0,foul,L,inside,2,2
2229.0,95.2,3,2,walk,R,outside,1,2
1691.0,90.8,2,2,ball,R,outside,1,2
1718.0,88.8,2,2,foul,R,inside,1,2
1641.0,89.7,1,2,ball,R,outside,1,2
2059.0,77.0,0,2,ball,R,outside,1,2
2117.0,96.6,0,2,foul,R,inside,1,2
2355.0,94.1,0,2,foul,R,outside,1,2
1634.0,89.2,0,2,foul,R,outside,1,2
2202.0,95.7,0,2,foul,R,outside,1,2
2162.0,95.8,0,1,strike,R,inside,1,2
1733.0,88.0,0,0,strike,R,inside,1,2
1774.0,88.4,3,2,out,R,outside,1,1
2210.0,94.8,2,2,ball,R,outside,1,1
1620.0,87.5,1,2,ball,R,outside,1,1
2160.0,95.2,1,2,foul,R,inside,1,1
1779.0,89.2,1,2,foul,R,inside,1,1
2233.0,97.0,0,2,ball,R,inside,1,1
2151.0,95.0,0,1,strike,R,inside,1,1
1631.0,86.7,0,0,strike,R,inside,1,1
2030.0,94.9,0,2,out,L,outside,1,0
1523.0,88.4,0,1,foul,L,inside,1,0
2230.0,92.0,0,0,strike,L,inside,1,0
2174.0,96.2,1,2,hit,R,inside,0,0
2342.0,93.1,1,1,foul,R,inside,0,0
1763.0,88.5,1,0,strike,R,outside,0,0
1876.0,76.3,0,0,ball,R,outside,0,0
2339.0,96.3,2,2,out,R,inside,0,2
1756.0,88.4,2,1,strike,R,outside,0,2
1755.0,87.8,2,0,strike,R,inside,0,2
2283.0,92.2,1,0,ball,R,outside,0,2
1662.0,74.6,0,0,ball,R,outside,0,2
1572.0,88.5,1,2,out,L,inside,0,1
1909.0,77.4,1,1,foul,L,inside,0,1
1683.0,88.9,0,1,ball,L,outside,0,1
2149.0,91.0,0,0,strike,L,inside,0,1
2147.0,94.6,0,2,out,R,outside,0,0
1541.0,88.1,0,1,foul,R,outside,0,0
1546.0,88.9,0,0,strike,R,outside,0,0
2235.0,91.3,2,1,out,R,inside,0,2
1678.0,89.5,1,1,ball,R,outside,0,2
1755.0,88.8,1,0,strike,R,outside,0,2
1816.0,77.1,0,0,ball,R,outside,0,2
1562.0,88.3,0,1,out,L,outside,1,0
1637.0,86.9,0,0,foul,L,inside,1,0
1887.0,78.7,2,2,hit,R,outside,0,0
2282.0,95.9,2,2,foul,R,outside,0,0
1756.0,89.9,2,1,foul,R,outside,0,0
2292.0,91.1,2,0,strike,R,inside,0,0
2194.0,95.0,1,0,ball,R,outside,0,0
2281.0,95.0,0,0,ball,R,outside,0,0
2200.0,92.0,2,0,out,R,outside,1,2
1744.0,88.5,1,0,ball,R,outside,1,2
2154.0,88.4,0,0,ball,R,outside,1,2
2321.0,90.7,2,2,hit,L,outside,1,2
2155.0,95.4,1,2,ball,L,outside,1,2
2187.0,95.0,1,1,strike,L,inside,1,2
2196.0,95.6,0,1,ball,L,outside,1,2
2277.0,92.1,0,0,strike,L,inside,1,2
2316.0,89.9,1,0,hit,R,inside,0,2
2016.0,76.7,0,0,ball,R,outside,0,2
1744.0,89.5,2,2,out,L,outside,0,1
2132.0,96.5,1,2,ball,L,outside,0,1
2195.0,96.7,1,2,foul,L,inside,0,1
2225.0,91.2,0,2,ball,L,outside,0,1
1794.0,88.2,0,1,foul,L,outside,0,1
1697.0,87.3,0,0,strike,L,inside,0,1
2223.0,89.5,3,2,out,R,inside,0,0
2172.0,95.6,3,2,foul,R,inside,0,0
2177.0,94.7,3,1,foul,R,outside,0,0
