teamID,Win_Pct,Run_Diff,yearID
ARI,0.4012345679012346,-123,2010
ATL,0.5617283950617284,109,2010
BAL,0.4074074074074074,-172,2010
BOS,0.5493827160493827,74,2010
CHA,0.5432098765432098,48,2010
CHN,0.46296296296296297,-82,2010
CIN,0.5617283950617284,105,2010
CLE,0.42592592592592593,-106,2010
COL,0.5123456790123457,53,2010
DET,0.5,8,2010
FLO,0.49382716049382713,2,2010
HOU,0.4691358024691358,-118,2010
KCA,0.41358024691358025,-169,2010
LAA,0.49382716049382713,-21,2010
LAN,0.49382716049382713,-25,2010
MIL,0.47530864197530864,-54,2010
MIN,0.5802469135802469,110,2010
NYA,0.5864197530864198,166,2010
NYN,0.4876543209876543,4,2010
OAK,0.5,37,2010
PHI,0.5987654320987654,132,2010
PIT,0.35185185185185186,-279,2010
SDN,0.5555555555555556,84,2010
SEA,0.3765432098765432,-185,2010
SFN,0.5679012345679012,114,2010
SLN,0.5308641975308642,95,2010
TBA,0.5925925925925926,153,2010
TEX,0.5555555555555556,100,2010
TOR,0.5246913580246914,27,2010
WAS,0.42592592592592593,-87,2010
ARI,0.5802469135802469,69,2011
ATL,0.5493827160493827,36,2011
BAL,0.42592592592592593,-152,2011
BOS,0.5555555555555556,138,2011
CHA,0.4876543209876543,-52,2011
CHN,0.4382716049382716,-102,2011
CIN,0.4876543209876543,15,2011
CLE,0.49382716049382713,-56,2011
COL,0.4506172839506173,-39,2011
DET,0.5864197530864198,76,2011
FLO,0.4444444444444444,-77,2011
HOU,0.345679012345679,-181,2011
KCA,0.4382716049382716,-32,2011
LAA,0.5308641975308642,34,2011
LAN,0.5093167701863354,32,2011
MIL,0.5925925925925926,83,2011
MIN,0.3888888888888889,-185,2011
NYA,0.5987654320987654,210,2011
NYN,0.47530864197530864,-24,2011
OAK,0.4567901234567901,-34,2011
PHI,0.6296296296296297,184,2011
PIT,0.4444444444444444,-102,2011
SDN,0.4382716049382716,-18,2011
SEA,0.41358024691358025,-119,2011
SFN,0.5308641975308642,-8,2011
SLN,0.5555555555555556,70,2011
TBA,0.5617283950617284,93,2011
TEX,0.5925925925925926,178,2011
TOR,0.5,-18,2011
WAS,0.4968944099378882,-19,2011
ARI,0.5,46,2012
ATL,0.5802469135802469,100,2012
BAL,0.5740740740740741,7,2012
BOS,0.42592592592592593,-72,2012
CHA,0.5246913580246914,72,2012
CHN,0.3765432098765432,-146,2012
CIN,0.5987654320987654,81,2012
CLE,0.41975308641975306,-178,2012
COL,0.3950617283950617,-132,2012
DET,0.5432098765432098,56,2012
HOU,0.3395061728395062,-211,2012
KCA,0.4444444444444444,-70,2012
LAA,0.5493827160493827,68,2012
LAN,0.5308641975308642,40,2012
MIA,0.42592592592592593,-115,2012
MIL,0.5123456790123457,43,2012
MIN,0.4074074074074074,-131,2012
NYA,0.5864197530864198,136,2012
NYN,0.4567901234567901,-59,2012
OAK,0.5802469135802469,99,2012
PHI,0.5,4,2012
PIT,0.4876543209876543,-23,2012
SDN,0.4691358024691358,-59,2012
SEA,0.46296296296296297,-32,2012
SFN,0.5802469135802469,69,2012
SLN,0.5432098765432098,117,2012
TBA,0.5555555555555556,120,2012
TEX,0.5740740740740741,101,2012
TOR,0.4506172839506173,-68,2012
WAS,0.6049382716049383,137,2012
ARI,0.5,-10,2013
ATL,0.5925925925925926,140,2013
BAL,0.5246913580246914,36,2013
BOS,0.5987654320987654,197,2013
CHA,0.3888888888888889,-125,2013
CHN,0.4074074074074074,-87,2013
CIN,0.5555555555555556,109,2013
CLE,0.5679012345679012,83,2013
COL,0.4567901234567901,-54,2013
DET,0.5740740740740741,172,2013
HOU,0.3148148148148148,-238,2013
KCA,0.5308641975308642,47,2013
LAA,0.48148148148148145,-4,2013
LAN,0.5679012345679012,67,2013
MIA,0.38271604938271603,-133,2013
MIL,0.4567901234567901,-47,2013
MIN,0.4074074074074074,-174,2013
NYA,0.5246913580246914,-21,2013
NYN,0.4567901234567901,-65,2013
OAK,0.5925925925925926,142,2013
PHI,0.4506172839506173,-139,2013
PIT,0.5802469135802469,57,2013
SDN,0.4691358024691358,-82,2013
SEA,0.4382716049382716,-130,2013
SFN,0.4691358024691358,-62,2013
SLN,0.5987654320987654,187,2013
