pitch_name
4-Seam Fastball
Split-Finger
Split-Finger
Curveball
Curveball
4-Seam Fastball
Cutter
Curveball
Curveball
Curveball
Split-Finger
4-Seam Fastball
Slider
Cutter
Slider
Split-Finger
Curveball
4-Seam Fastball
Cutter
Split-Finger
Cutter
Curveball
Split-Finger
Cutter
4-Seam Fastball
Split-Finger
4-Seam Fastball
Cutter
4-Seam Fastball
Split-Finger
4-Seam Fastball
Curveball
4-Seam Fastball
4-Seam Fastball
4-Seam Fastball
Cutter
Cutter
4-Seam Fastball
Split-Finger
Cutter
Split-Finger
Split-Finger
4-Seam Fastball
Split-Finger
Split-Finger
4-Seam Fastball
Cutter
Slider
Split-Finger
Split-Finger
Split-Finger
Curveball
Curveball
Cutter
Split-Finger
4-Seam Fastball
Split-Finger
Split-Finger
Curveball
4-Seam Fastball
Slider
Curveball
Curveball
Split-Finger
Split-Finger
4-Seam Fastball
Split-Finger
Curveball
4-Seam Fastball
Curveball
Split-Finger
4-Seam Fastball
Slider
Split-Finger
4-Seam Fastball
Cutter
Curveball
Split-Finger
4-Seam Fastball
Cutter
Curveball
4-Seam Fastball
Split-Finger
Curveball
4-Seam Fastball
Split-Finger
4-Seam Fastball
4-Seam Fastball
4-Seam Fastball
4-Seam Fastball
4-Seam Fastball
Curveball
Curveball
4-Seam Fastball
Split-Finger
Split-Finger
Split-Finger
4-Seam Fastball
Split-Finger
Curveball
4-Seam Fastball
4-Seam Fastball
Split-Finger
Curveball
Curveball
Slider
4-Seam Fastball
Curveball
Curveball
Cutter
4-Seam Fastball
Cutter
Split-Finger
Curveball
Curveball
4-Seam Fastball
Cutter
4-Seam Fastball
4-Seam Fastball
Curveball
4-Seam Fastball
4-Seam Fastball
Split-Finger
Split-Finger
4-Seam Fastball
Curveball
4-Seam Fastball
Split-Finger
Split-Finger
Split-Finger
Curveball
Split-Finger
Curveball
Cutter
Split-Finger
Split-Finger
Split-Finger
Curveball
4-Seam Fastball
Split-Finger
Curveball
Curveball
4-Seam Fastball
Cutter
4-Seam Fastball
Split-Finger
Curveball
Cutter
Split-Finger
4-Seam Fastball
4-Seam Fastball
Split-Finger
Cutter
Curveball
Split-Finger
Split-Finger
4-Seam Fastball
4-Seam Fastball
Split-Finger
Cutter
4-Seam Fastball
Curveball
4-Seam Fastball
Slider
Split-Finger
Curveball
Cutter
Split-Finger
4-Seam Fastball
Split-Finger
4-Seam Fastball
Curveball
4-Seam Fastball
Curveball
Split-Finger
Split-Finger
4-Seam Fastball
Curveball
Split-Finger
Curveball
4-Seam Fastball
4-Seam Fastball
Split-Finger
4-Seam Fastball
Curveball
4-Seam Fastball
Split-Finger
Split-Finger
Curveball
Split-Finger
4-Seam Fastball
4-Seam Fastball
Split-Finger
4-Seam Fastball
Cutter
Split-Finger
Curveball
Split-Finger
Split-Finger
4-Seam Fastball
Split-Finger
Split-Finger
Curveball
Split-Finger
Cutter
Cutter
Curveball
Cutter
4-Seam Fastball
4-Seam Fastball
Curveball
Cutter
Split-Finger
Curveball
Split-Finger
Cutter
Split-Finger
Split-Finger
Cutter
Split-Finger
Cutter
Split-Finger
4-Seam Fastball
Cutter
Split-Finger
Split-Finger
